customer_id,first_name,last_name,email_address,phone_number
a70ce1b5,Oluwaseun,Okeke,oluwaseun.okeke@gmail.com,+234790075968
5987baf1,Chinwe,Okonkwo,chinwe.okonkwo@gmail.com,+234725332242
213f191f,Adebayo,Okorie,adebayo.okorie@hotmail.com,+234729148617
ae711399,Chinyere,Nnamani,chinyere.nnamani@yahoo.com,+234526229836
daea58ba,Emeka,Eze,emeka.eze@hotmail.com,+234399328359
6f055718,Chinwe,Ogbu,chinwe.ogbu@yahoo.com,+234605889112
7576714a,Oluwadamilola,Eze,oluwadamilola.eze@yahoo.com,+234479447704
4d23bed5,Chinyere,Eze,chinyere.eze@yahoo.com,+234101936724
600027e8,Oluwaseun,Ogbu,oluwaseun.ogbu@yahoo.com,+234945063212
6a5ccc2c,Oluwaseun,Afolabi,oluwaseun.afolabi@yahoo.com,+234218056503
9c9cea0c,Oluwadamilare,Afolabi,oluwadamilare.afolabi@gmail.com,+234985240118
452ec40a,Emeka,Eze,emeka.eze@gmail.com,+234985927670
daea58ba,Chinyere,Okeke,chinyere.okeke@yahoo.com,+234057705564
bcb8a084,Oluwadamilare,Okafor,oluwadamilare.okafor@gmail.com,+234171192004
0f967bcc,Ngozi,Okorie,ngozi.okorie@gmail.com,+234633526983
6f055718,Oluwaseun,Nwosu,oluwaseun.nwosu@hotmail.com,+234832703118
9c9cea0c,Chinwe,Eze,chinwe.eze@gmail.com,+234437576837
a70ce1b5,Chinyere,Nnamani,chinyere.nnamani@hotmail.com,+234536716715
a70ce1b5,Ngozi,Eze,ngozi.eze@gmail.com,+234239649208
0f967bcc,Chinwe,Afolabi,chinwe.afolabi@hotmail.com,+234406538431
a70ce1b5,Oluwadamilare,Eze,oluwadamilare.eze@gmail.com,+234992532994
9893588c,Oluwadamilare,Nwosu,oluwadamilare.nwosu@hotmail.com,+234967984848
a9f559fc,Oluwadamilola,Okeke,oluwadamilola.okeke@gmail.com,+234114566716
600027e8,Adebayo,Adeyemi,adebayo.adeyemi@hotmail.com,+234720524262
34a9af41,Adaobi,Ogbu,adaobi.ogbu@yahoo.com,+234539705672
5f811cb9,Adebayo,Afolabi,adebayo.afolabi@hotmail.com,+234770753673
0f967bcc,Oluwaseun,Okorie,oluwaseun.okorie@hotmail.com,+234651228016
a9f559fc,Ngozi,Nnamani,ngozi.nnamani@gmail.com,+234154938949
ab721ab0,Ikechukwu,Ogbu,ikechukwu.ogbu@hotmail.com,+234919775341
87f26aee,Adaobi,Adeyemi,adaobi.adeyemi@gmail.com,+234834345012
9893588c,Ikechukwu,Ogbu,ikechukwu.ogbu@hotmail.com,+234266960228
5473da68,Oluwaseun,Afolabi,oluwaseun.afolabi@hotmail.com,+234201525534
026530cd,Adaobi,Okeke,adaobi.okeke@gmail.com,+234478282607
daea58ba,Emeka,Ogbu,emeka.ogbu@gmail.com,+234444089568
ab721ab0,Ngozi,Ogbu,ngozi.ogbu@gmail.com,+234782191162
d64a3ce0,Oluwadamilola,Eze,oluwadamilola.eze@hotmail.com,+234428832162
600027e8,Chinwe,Afolabi,chinwe.afolabi@yahoo.com,+234943564049
bcb8a084,Chinwe,Okeke,chinwe.okeke@yahoo.com,+234739052833
ab721ab0,Oluwaseun,Eze,oluwaseun.eze@gmail.com,+234120041840
600027e8,Oluwaseun,Okonkwo,oluwaseun.okonkwo@yahoo.com,+234614711627
42d6cb5c,Emeka,Eze,emeka.eze@yahoo.com,+234626536075
6a5ccc2c,Chinyere,Afolabi,chinyere.afolabi@gmail.com,+234183016587
daea58ba,Oluwadamilola,Okonkwo,oluwadamilola.okonkwo@hotmail.com,+234212631360
4d23bed5,Emeka,Eze,emeka.eze@gmail.com,+234664602157
9893588c,Ngozi,Okorie,ngozi.okorie@gmail.com,+234876201227
9c9cea0c,Oluwadamilola,Nwosu,oluwadamilola.nwosu@hotmail.com,+234568874561
bcb8a084,Chinwe,Afolabi,chinwe.afolabi@gmail.com,+234154857584
6a5ccc2c,Emeka,Ogbu,emeka.ogbu@hotmail.com,+234767793633
026530cd,Oluwadamilare,Okorie,oluwadamilare.okorie@yahoo.com,+234105703025
ae711399,Chinyere,Eze,chinyere.eze@hotmail.com,+234823555633
ab721ab0,Oluwadamilola,Nwosu,oluwadamilola.nwosu@yahoo.com,+234720722785
9893588c,Chinyere,Okafor,chinyere.okafor@hotmail.com,+234211596958
d64a3ce0,Adaobi,Nnamani,adaobi.nnamani@yahoo.com,+234731228511
ae711399,Oluwadamilare,Okonkwo,oluwadamilare.okonkwo@hotmail.com,+234970447505
82bde024,Emeka,Eze,emeka.eze@hotmail.com,+234192354770
5987baf1,Oluwaseun,Okonkwo,oluwaseun.okonkwo@gmail.com,+234396580918
026530cd,Chinwe,Afolabi,chinwe.afolabi@gmail.com,+234375265253
0f967bcc,Oluwaseun,Afolabi,oluwaseun.afolabi@yahoo.com,+234136289809
94820a06,Chinwe,Okafor,chinwe.okafor@yahoo.com,+234471453800
5f811cb9,Oluwadamilare,Okeke,oluwadamilare.okeke@hotmail.com,+234681791561
5987baf1,Adaobi,Okeke,adaobi.okeke@hotmail.com,+234025033893
94820a06,Oluwaseun,Okonkwo,oluwaseun.okonkwo@hotmail.com,+234410557140
ab721ab0,Chinyere,Okonkwo,chinyere.okonkwo@gmail.com,+234076870811
6a5ccc2c,Ngozi,Okeke,ngozi.okeke@hotmail.com,+234619561580
635a8ce2,Chinyere,Ogbu,chinyere.ogbu@hotmail.com,+234158454072
87f26aee,Ngozi,Okorie,ngozi.okorie@gmail.com,+234138460686
daea58ba,Adebayo,Okonkwo,adebayo.okonkwo@yahoo.com,+234320332551
42d6cb5c,Chinyere,Okeke,chinyere.okeke@gmail.com,+234348736136
7576714a,Oluwaseun,Nwosu,oluwaseun.nwosu@yahoo.com,+234849668105
a9f559fc,Oluwaseun,Okafor,oluwaseun.okafor@gmail.com,+234867416446
bcb8a084,Chinwe,Okorie,chinwe.okorie@gmail.com,+234923251533
87f26aee,Oluwadamilola,Okeke,oluwadamilola.okeke@yahoo.com,+234518077124
9893588c,Ikechukwu,Eze,ikechukwu.eze@hotmail.com,+234287215102
600027e8,Oluwaseun,Ogbu,oluwaseun.ogbu@hotmail.com,+234595101462
0f967bcc,Oluwadamilare,Ogbu,oluwadamilare.ogbu@yahoo.com,+234221686566
bcb8a084,Oluwaseun,Afolabi,oluwaseun.afolabi@gmail.com,+234026662005
d1f6f86c,Adebayo,Adeyemi,adebayo.adeyemi@hotmail.com,+234849684161
5f811cb9,Adaobi,Okonkwo,adaobi.okonkwo@yahoo.com,+234425208144
82bde024,Oluwaseun,Okonkwo,oluwaseun.okonkwo@gmail.com,+234923487258
7576714a,Oluwadamilola,Okorie,oluwadamilola.okorie@hotmail.com,+234600802464
42d6cb5c,Oluwadamilola,Okonkwo,oluwadamilola.okonkwo@yahoo.com,+234324082576
a70ce1b5,Ikechukwu,Eze,ikechukwu.eze@hotmail.com,+234989478027
600027e8,Oluwadamilola,Okeke,oluwadamilola.okeke@gmail.com,+234061451503
9c9cea0c,Adebayo,Adeyemi,adebayo.adeyemi@gmail.com,+234090987075
82bde024,Oluwadamilola,Eze,oluwadamilola.eze@hotmail.com,+234460718889
42d6cb5c,Oluwadamilola,Okafor,oluwadamilola.okafor@yahoo.com,+234217557974
5987baf1,Oluwaseun,Okonkwo,oluwaseun.okonkwo@yahoo.com,+234502348627
d64a3ce0,Oluwadamilola,Afolabi,oluwadamilola.afolabi@yahoo.com,+234016406409
5f811cb9,Emeka,Okafor,emeka.okafor@hotmail.com,+234968510403
daea58ba,Ngozi,Okeke,ngozi.okeke@gmail.com,+234628259039
4d23bed5,Ngozi,Nwosu,ngozi.nwosu@yahoo.com,+234906362311
452ec40a,Oluwadamilola,Adeyemi,oluwadamilola.adeyemi@yahoo.com,+234377475705
94820a06,Emeka,Okeke,emeka.okeke@hotmail.com,+234737125233
87f26aee,Chinyere,Nnamani,chinyere.nnamani@yahoo.com,+234264714686
d64a3ce0,Adebayo,Okonkwo,adebayo.okonkwo@gmail.com,+234900152151
ae711399,Chinwe,Adeyemi,chinwe.adeyemi@yahoo.com,+234782245200
6f055718,Oluwadamilare,Ogbu,oluwadamilare.ogbu@yahoo.com,+234839075992
